numeroAtto,numeroAttoAlfanumerico,dataGU,numeroGU,codiceRedazionale,titoloAtto,giornoProvvedimento,meseProvvedimento,meseProvvedimentoIta,meseProvvedimentoEng,annoProvvedimento,numeroProvvedimento,denominazioneAtto,numeroSupplemento,tipoSupplemento,suffissoArticoloSelezionato,subArt1ArticoloSelezionato,hlTitoli,hlArticoli,annoDataGU,dataGUStr,tipoSupplementoIt,tipoSupplementoEn,dataEmanazione,descrizioneAtto,dataUltimaModifica,ultimiAttiModificanti,normattiva_uri
218,218,2026-01-19,14,26G00014,[Regolamento di attuazione e integrazione delle norme  in  materia  di rapporti di rappresentanza degli atleti e delle societa'  sportive  e di accesso all'esercizio di agente sportivo. (26G00014)  ],2,12,dicembre,December,2025,218,DECRETO,0,NO,1,0,,,2026,19-01-2026,,,2025-12-02T00:00:00Z,"DECRETO 2 dicembre 2025, n. 218",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto:2025-12-02;218
217,217,2026-01-19,14,26G00013,"[Ratifica ed esecuzione del Protocollo di modifica dell'Accordo tra la Repubblica   Italiana   e   la   Confederazione   Svizzera   relativo all'imposizione   dei   lavoratori   frontalieri,   con    Protocollo aggiuntivo, del 23 dicembre 2020, fatto a Roma il 30 maggio 2024 e  a Berna il 6 giugno 2024. (26G00013)  ]",29,12,dicembre,December,2025,217,LEGGE,0,NO,1,0,,,2026,19-01-2026,,,2025-12-29T00:00:00Z,"LEGGE 29 dicembre 2025, n. 217",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2025-12-29;217
216,216,2026-01-15,11,26G00005,"[Attuazione della direttiva (UE) 2023/1544 del  Parlamento  europeo  e del Consiglio, del 12 luglio 2023, recante  norme  armonizzate  sulla designazione  di   stabilimenti   designati   e   sulla   nomina   di rappresentanti legali ai fini dell'acquisizione di prove elettroniche nei procedimenti penali. (26G00005)  ]",30,12,dicembre,December,2025,216,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,15-01-2026,,,2025-12-30T00:00:00Z,"DECRETO LEGISLATIVO 30 dicembre 2025, n. 216",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-30;216
215,215,2026-01-15,11,26G00004,"[Individuazione delle autorita' competenti di cui all'articolo 31  del Regolamento (UE) 2023/1543 del Parlamento europeo  e  del  Consiglio, del 12 luglio 2023, relativo agli ordini europei di produzione e agli ordini  europei  di   conservazione   di   prove   elettroniche   nei procedimenti penali e per l'esecuzione di pene detentive a seguito di procedimenti  penali,  nonche'  delle  procedure   per   l'emissione, ricezione, esecuzione e riesame degli ordini europei di produzione  e di conservazione. (26G00004)  ]",30,12,dicembre,December,2025,215,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,15-01-2026,,,2025-12-30T00:00:00Z,"DECRETO LEGISLATIVO 30 dicembre 2025, n. 215",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-30;215
214,214,2026-01-12,8,26G00012,"[Regolamento relativo alla disciplina generale  dei  giochi  numerici, affidati in concessione. (26G00012)  ]",3,12,dicembre,December,2025,214,DECRETO,0,NO,1,0,,,2026,12-01-2026,,,2025-12-03T00:00:00Z,"DECRETO 3 dicembre 2025, n. 214",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto:2025-12-03;214
3,3,2026-01-09,6,26G00011,"[Attuazione della direttiva (UE) 2024/1711 del  Parlamento  europeo  e del Consiglio, del 13 giugno 2024, che  modifica  le  direttive  (UE) 2018/2001 e  (UE)  2019/944  per  quanto  riguarda  il  miglioramento dell'assetto  del   mercato   dell'energia   elettrica   dell'Unione. (26G00011)  ]",7,1,gennaio,January,2026,3,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,09-01-2026,,,2026-01-07T00:00:00Z,"DECRETO LEGISLATIVO 7 gennaio 2026, n. 3",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2026-01-07;3
2,2,2026-01-09,6,26G00010,"[Attuazione della direttiva (UE) 2024/884 del Parlamento europeo e del Consiglio, del 13 marzo 2024, che modifica  la  direttiva  2012/19/UE sui rifiuti di apparecchiature elettriche  ed  elettroniche  -  RAEE. (26G00010)  ]",7,1,gennaio,January,2026,2,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,09-01-2026,,,2026-01-07T00:00:00Z,"DECRETO LEGISLATIVO 7 gennaio 2026, n. 2",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2026-01-07;2
213,213,2026-01-09,6,26G00008,"[Attuazione della direttiva (UE) 2023/2668 del  Parlamento  europeo  e del Consiglio, del  22  novembre  2023,  che  modifica  la  direttiva 2009/148/CE sulla protezione dei lavoratori contro i rischi  connessi con un'esposizione all'amianto durante il lavoro. (26G00008)  ]",31,12,dicembre,December,2025,213,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,09-01-2026,,,2025-12-31T00:00:00Z,"DECRETO LEGISLATIVO 31 dicembre 2025, n. 213",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-31;213
212,212,2026-01-09,6,26G00009,"[Recepimento della direttiva (UE) 2023/2225 del Parlamento  europeo  e del Consiglio, del 18 ottobre 2023, relativa ai contratti di  credito ai consumatori e che abroga la direttiva 2008/48/CE. (26G00009)  ]",31,12,dicembre,December,2025,212,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,09-01-2026,,,2025-12-31T00:00:00Z,"DECRETO LEGISLATIVO 31 dicembre 2025, n. 212",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-31;212
211,211,2026-01-09,6,26G00003,"[Attuazione della direttiva 2024/1226/UE del Parlamento europeo e  del Consiglio, del 24 aprile 2024, relativa alla definizione dei reati  e delle sanzioni per la violazione delle misure restrittive dell'Unione e che modifica la direttiva (UE) 2018/1673. (26G00003)  ]",30,12,dicembre,December,2025,211,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,09-01-2026,,,2025-12-30T00:00:00Z,"DECRETO LEGISLATIVO 30 dicembre 2025, n. 211",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-30;211
210,210,2026-01-08,5,26G00007,"[Modifiche ed integrazioni al decreto legislativo 21 novembre 2007, n. 231  per  il  recepimento  dell'articolo  74  della  direttiva   (UE) 2024/1640 del Parlamento europeo e del Consiglio, del 31 maggio 2024, relativa ai meccanismi che gli  Stati  membri  devono  istituire  per prevenire l'uso del sistema  finanziario  a  fini  di  riciclaggio  o finanziamento del terrorismo. (26G00007)  ]",31,12,dicembre,December,2025,210,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,08-01-2026,,,2025-12-31T00:00:00Z,"DECRETO LEGISLATIVO 31 dicembre 2025, n. 210",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-31;210
209,209,2026-01-08,5,26G00002,"[Attuazione della direttiva (UE) 2023/2673 del  Parlamento  europeo  e del Consiglio, del  22  novembre  2023,  che  modifica  la  direttiva 2011/83/UE per quanto riguarda  i  contratti  di  servizi  finanziari conclusi a distanza e abroga la direttiva 2002/65/CE. (26G00002)  ]",31,12,dicembre,December,2025,209,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,08-01-2026,,,2025-12-31T00:00:00Z,"DECRETO LEGISLATIVO 31 dicembre 2025, n. 209",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-31;209
208,208,2026-01-08,5,26G00006,"[Recepimento della direttiva (UE) 2024/1619 del Parlamento  europeo  e del  Consiglio,  del  31  maggio  2024,  che  modifica  la  direttiva 2013/36/UE per quanto riguarda i poteri di vigilanza, le sanzioni, le succursali di paesi  terzi  e  i  rischi  ambientali,  sociali  e  di governance, nonche' per l'adeguamento al regolamento  (UE)  2024/1623 del Parlamento europeo e del  Consiglio,  del  31  maggio  2024,  che modifica il regolamento  (UE)  n.  575/2013  per  quanto  concerne  i requisiti per il rischio di  credito,  il  rischio  di  aggiustamento della valutazione del credito, il rischio operativo,  il  rischio  di mercato e l'output floor. (26G00006)  ]",31,12,dicembre,December,2025,208,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,08-01-2026,,,2025-12-31T00:00:00Z,"DECRETO LEGISLATIVO 31 dicembre 2025, n. 208",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-31;208
1,1 (Raccolta 2026),2026-01-07,4,25G00211,"[Modifiche alla legge 14 gennaio 1994, n.  20,  e  altre  disposizioni nonche' delega al Governo in materia  di  funzioni  della  Corte  dei conti e di  responsabilita'  amministrativa  e  per  danno  erariale. (25G00211)  ]",7,1,gennaio,January,2026,1,LEGGE,0,NO,1,0,,,2026,07-01-2026,,,2026-01-07T00:00:00Z,"LEGGE 7 gennaio 2026, n. 1",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-07;1
207,207,2026-01-05,3,26G00001,"[Attuazione della direttiva (UE) 2024/1438 del  Parlamento  europeo  e del  Consiglio  del  14  maggio  2024,  che  modifica  la   direttiva 2001/110/CE  del  Consiglio  concernente  il  miele,   la   direttiva 2001/112/CE del Consiglio concernente i  succhi  di  frutta  e  altri prodotti analoghi destinati  all'alimentazione  umana,  la  direttiva 2001/113/CE  del  Consiglio  relativa  alle  confetture,  gelatine  e marmellate  di   frutta   e   alla   crema   di   marroni   destinate all'alimentazione umana e  la  direttiva  2001/114/CE  del  Consiglio relativa a taluni tipi di latte conservato parzialmente o  totalmente disidratato destinato all'alimentazione umana. (26G00001)  ]",30,12,dicembre,December,2025,207,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,05-01-2026,,,2025-12-30T00:00:00Z,"DECRETO LEGISLATIVO 30 dicembre 2025, n. 207",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2025-12-30;207
